original_path,new_path,label,class_name,filename
C:\Users\yuely\OneDrive\Desktop\cs760\760-Group1\data\raw\Digital Knee X-ray Images\MedicalExpert-I\0Normal\NormalG0 (453).png,C:\Users\yuely\OneDrive\Desktop\cs760\760-Group1\data\excluded\double_knee\0Normal\NormalG0 (453).png,0,Normal,NormalG0 (453).png
C:\Users\yuely\OneDrive\Desktop\cs760\760-Group1\data\raw\Digital Knee X-ray Images\MedicalExpert-I\0Normal\NormalG0 (454).png,C:\Users\yuely\OneDrive\Desktop\cs760\760-Group1\data\excluded\double_knee\0Normal\NormalG0 (454).png,0,Normal,NormalG0 (454).png
C:\Users\yuely\OneDrive\Desktop\cs760\760-Group1\data\raw\Digital Knee X-ray Images\MedicalExpert-I\0Normal\NormalG0 (455).png,C:\Users\yuely\OneDrive\Desktop\cs760\760-Group1\data\excluded\double_knee\0Normal\NormalG0 (455).png,0,Normal,NormalG0 (455).png
C:\Users\yuely\OneDrive\Desktop\cs760\760-Group1\data\raw\Digital Knee X-ray Images\MedicalExpert-I\0Normal\NormalG0 (456).png,C:\Users\yuely\OneDrive\Desktop\cs760\760-Group1\data\excluded\double_knee\0Normal\NormalG0 (456).png,0,Normal,NormalG0 (456).png
C:\Users\yuely\OneDrive\Desktop\cs760\760-Group1\data\raw\Digital Knee X-ray Images\MedicalExpert-I\0Normal\NormalG0 (457).png,C:\Users\yuely\OneDrive\Desktop\cs760\760-Group1\data\excluded\double_knee\0Normal\NormalG0 (457).png,0,Normal,NormalG0 (457).png
C:\Users\yuely\OneDrive\Desktop\cs760\760-Group1\data\raw\Digital Knee X-ray Images\MedicalExpert-I\0Normal\NormalG0 (458).png,C:\Users\yuely\OneDrive\Desktop\cs760\760-Group1\data\excluded\double_knee\0Normal\NormalG0 (458).png,0,Normal,NormalG0 (458).png
C:\Users\yuely\OneDrive\Desktop\cs760\760-Group1\data\raw\Digital Knee X-ray Images\MedicalExpert-I\0Normal\NormalG0 (459).png,C:\Users\yuely\OneDrive\Desktop\cs760\760-Group1\data\excluded\double_knee\0Normal\NormalG0 (459).png,0,Normal,NormalG0 (459).png
C:\Users\yuely\OneDrive\Desktop\cs760\760-Group1\data\raw\Digital Knee X-ray Images\MedicalExpert-I\0Normal\NormalG0 (460).png,C:\Users\yuely\OneDrive\Desktop\cs760\760-Group1\data\excluded\double_knee\0Normal\NormalG0 (460).png,0,Normal,NormalG0 (460).png
C:\Users\yuely\OneDrive\Desktop\cs760\760-Group1\data\raw\Digital Knee X-ray Images\MedicalExpert-I\0Normal\NormalG0 (461).png,C:\Users\yuely\OneDrive\Desktop\cs760\760-Group1\data\excluded\double_knee\0Normal\NormalG0 (461).png,0,Normal,NormalG0 (461).png
C:\Users\yuely\OneDrive\Desktop\cs760\760-Group1\data\raw\Digital Knee X-ray Images\MedicalExpert-I\0Normal\NormalG0 (462).png,C:\Users\yuely\OneDrive\Desktop\cs760\760-Group1\data\excluded\double_knee\0Normal\NormalG0 (462).png,0,Normal,NormalG0 (462).png
